,date,author,post_name,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек)
75,2024-06-07 08:00:00,Не указан,WhatsApp создаст специального помощника с ИИ,Digital,323194,https://adindex.ru/news/digital/2024/06/7/323194.phtml,65.0,271.0,60.0,0.0,4.11111111,282.33333333
76,2024-06-07 07:47:00,Не указан,В Госдуме подготовлен законопроект о запрете рекламы в запрещенных соцсетях,Право,323196,https://adindex.ru/news/right/2024/06/7/323196.phtml,179.0,434.0,173.0,0.0,1.56724138,33.333333332500004
77,2024-06-07 07:15:00,Не указан,Крупнейшие продуктовые ретейлеры увеличили выручку на четверть,Тенденции,323195,https://adindex.ru/news/tendencies/2024/06/7/323195.phtml,47.0,149.0,44.0,0.0,1.275,27.625
78,2024-06-07 06:51:00,Не указан,СТС снимет свою версию телеигры «Форт Боярд»,Медиа,323193,https://adindex.ru/news/media/2024/06/7/323193.phtml,44.0,119.0,43.0,0.0,1.863636365,67.32909091
79,2024-06-06 18:24:00,Елизавета Ронжина,«Игроник» объединился с Tele2 для создания диджитал-инструментов,Маркетинг,323189,https://adindex.ru/news/marketing/2024/06/6/323189.phtml,25.0,142.0,23.0,50.0,2.5,59.0
80,2024-06-06 17:42:00,Елизавета Ронжина,Видеореклама появилась в Telegram Mini Apps,Digital,323186,https://adindex.ru/news/digital/2024/06/6/323186.phtml,252.0,679.0,243.0,0.0,3.21,163.83499999999998
81,2024-06-06 16:27:00,Елизавета Худоятова,RoRe увеличила прогноз по объему рынка,Рекламные бюджеты,323184,https://adindex.ru/news/ad_budjet/2024/06/6/323184.phtml,59.0,388.0,56.0,8.335,3.335,270.581666665
82,2024-06-06 14:30:00,Елизавета Ронжина,Лепота! Актер «Великолепного века» анонсировал проект с «Иви»,Креатив,323182,https://adindex.ru/news/creative/2024/06/6/323182.phtml,203.0,469.0,191.0,0.0,1.4300000000000002,52.57
83,2024-06-06 13:29:00,Елизавета Ронжина,«Союзмультфильм» и Сергей Лукьяненко представят медиафраншизу о русских супергероях,Медиа,323181,https://adindex.ru/news/media/2024/06/6/323181.phtml,74.0,335.0,71.0,50.0,1.625,18.625
84,2024-06-06 13:12:00,Мария Хайкина,Медиахолдинг МАЕР поддержал ПМЭФ’24,Пресс-релизы,323164,https://adindex.ru/news/releases/2024/06/5/323164.phtml?erid=2Vtzqv1KavS,15.0,99.0,15.0,0.0,10.291666665000001,1687.75
85,2024-06-06 12:09:00,Елизавета Ронжина,Блогер Сергей Мезенцев стал ведущим шоу о риелторах «Не в метрах счастье»,Медиа,323178,https://adindex.ru/news/media/2024/06/6/323178.phtml,62.0,208.0,60.0,18.75,1.2266666650000002,21.625
86,2024-06-06 11:29:00,Не указан,Яна Лютаревич уходит из Divan.ru,Кадры,323176,https://adindex.ru/news/hr/2024/06/6/323176.phtml,179.0,556.0,160.0,2.63,1.9888709675,68.64
87,2024-06-06 10:18:00,Не указан,Продажи техники выросли на 15% в первом квартале,Тенденции,323174,https://adindex.ru/news/tendencies/2024/06/6/323174.phtml,21.0,106.0,18.0,0.0,4.0,1208.0
88,2024-06-06 09:49:00,Не указан,Треть компаний увеличили расходы на рекламу в первом квартале,Тенденции,323173,https://adindex.ru/news/tendencies/2024/06/6/323173.phtml,48.0,364.0,43.0,0.0,5.4,643.4
89,2024-06-06 08:23:00,Не указан,Disney может выпустить продолжение «Гравити Фолз»,Медиа,323172,https://adindex.ru/news/media/2024/06/6/323172.phtml,1393.0,1894.0,1313.0,0.0,1.0,20.885714285
90,2024-06-06 07:50:00,Не указан,Instagram* добавил новые функции в Notes,Digital,323171,https://adindex.ru/news/digital/2024/06/6/323171.phtml,48.0,325.0,47.0,0.0,4.2,485.09545454500005
91,2024-06-06 07:38:00,Не указан,Новый кириллический домен появился в России впервые за 10 лет,Digital,323170,https://adindex.ru/news/digital/2024/06/6/323170.phtml,51.0,410.0,50.0,0.0,5.53333333,262.0
92,2024-06-06 07:17:00,Не указан,Количество китайских продавцов на Ozon превысило 100 тысяч,Тенденции,323169,https://adindex.ru/news/tendencies/2024/06/6/323169.phtml,20.0,113.0,20.0,0.0,6.0,528.6
93,2024-06-05 15:12:00,Не указан,Экспертный совет digital-премии «Проксима» окончательно сформирован,Пресс-релизы,323072,https://adindex.ru/news/releases/2024/06/3/323072.phtml?erid=2VtzqvEhV7t,35.0,132.0,34.0,0.0,7.25,1300.5
94,2024-06-05 14:27:00,Елизавета Ронжина,«Яндекс» сформировал новый совет директоров,Digital,323161,https://adindex.ru/news/digital/2024/06/5/323161.phtml,71.0,293.0,67.0,12.5,1.25,26.0
95,2024-06-05 12:55:00,Елизавета Ронжина,«Самокат» выступил против кибербуллинга и провел день с подростком,Социальные проекты,323142,https://adindex.ru/news/social_advertising/2024/06/5/323142.phtml,43.0,252.0,40.0,0.0,2.2916666675,79.125
96,2024-06-05 11:26:00,Елизавета Ронжина,«Дзен» добавил возможность подписки на определенную тему,Digital,323137,https://adindex.ru/news/digital/2024/06/5/323137.phtml,141.0,487.0,137.0,0.0,4.3,206.5
97,2024-06-05 10:40:00,Валентина Буйлова,IKEA открыла первый магазин в Roblox,Маркетинг,323136,https://adindex.ru/news/marketing/2024/06/5/323136.phtml,125.0,559.0,118.0,0.0,3.3181081075,168.4386486475
98,2024-06-05 09:42:00,Валентина Буйлова,«Тинькофф» переименован в Т‑Банк,Маркетинг,323134,https://adindex.ru/news/marketing/2024/06/5/323134.phtml,261.0,721.0,236.0,0.0,2.75,297.636363635
99,2024-06-05 07:52:00,Валентина Буйлова,Росаккредитация может обязать маркетплейсы подтверждать качество товаров,Право,323133,https://adindex.ru/news/right/2024/06/5/323133.phtml,17.0,99.0,15.0,0.0,4.333333335,198.0
100,2024-06-05 07:38:00,Валентина Буйлова,«Эксмо-АСТ» введет питчинг для игровых студий и театров,Маркетинг,323132,https://adindex.ru/news/marketing/2024/06/5/323132.phtml,36.0,177.0,33.0,0.0,2.583333335,39.666666665
101,2024-06-05 07:21:00,Валентина Буйлова,Продажи билетов на развлекательные мероприятия восстановились после падения,Тенденции,323131,https://adindex.ru/news/tendencies/2024/06/5/323131.phtml,16.0,126.0,16.0,0.0,8.75,1653.35
102,2024-06-04 18:45:00,Елизавета Ронжина,Citroën «угнал» электромобили у элиты,Креатив,323130,https://adindex.ru/news/creative/2024/06/4/323130.phtml,63.0,240.0,62.0,0.0,2.65,375.1
103,2024-06-04 18:12:00,Елизавета Ронжина,Сибирские города-миллионники стали лидерами по обороту на маркетплейсах,Исследования,323129,https://adindex.ru/news/researches/2024/06/4/323129.phtml,42.0,187.0,40.0,0.0,1.825,131.775
104,2024-06-04 17:45:00,Елизавета Ронжина,«Авито» назначил Татьяну Жаркову руководителем финтех-направления,Кадры,323128,https://adindex.ru/news/hr/2024/06/4/323128.phtml,89.0,309.0,85.0,12.5,2.296875,78.0
105,2024-06-04 16:31:00,Елизавета Ронжина,МТС Ads представила платформу для сбора данных о клиентах в едином профиле,Маркетинг,323126,https://adindex.ru/news/marketing/2024/06/4/323126.phtml,113.0,531.0,99.0,0.0,2.574324325,112.06
106,2024-06-04 15:08:00,Елизавета Ронжина,Группа «Хлеб» рассказала про опции «VK Музыки»,Креатив,323125,https://adindex.ru/news/creative/2024/06/4/323125.phtml,88.0,393.0,84.0,0.0,2.75,267.625
107,2024-06-04 12:16:00,Елизавета Ронжина,Четыре банка РФ объединили данные о счетах клиентов,Маркетинг,323121,https://adindex.ru/news/marketing/2024/06/4/323121.phtml,78.0,268.0,74.0,0.0,1.236842105,61.333333335
108,2024-06-04 11:49:00,Елизавета Ронжина,Гендиректором оператора платежной системы «Мир» стал Дмитрий Дубынин,Кадры,323120,https://adindex.ru/news/hr/2024/06/4/323120.phtml,71.0,265.0,69.0,16.665,1.646341465,53.5
109,2024-06-04 11:06:00,Елизавета Ронжина,«Веломоторс» назначила Ивана Нагибу директором по маркетингу,Кадры,323103,https://adindex.ru/news/hr/2024/06/4/323103.phtml,144.0,443.0,120.0,7.142857145,2.09357143,123.335
110,2024-06-04 10:17:00,Валентина Буйлова,«Роллтон» снял ролик под трек Глюкозы,Креатив,323085,https://adindex.ru/news/creative/2024/06/4/323085.phtml,170.0,544.0,162.0,16.665,1.5,59.5
